video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
Emily in Paris: Season 1,Emily in Paris,Emily in Paris: Season 1,TV,0,0,0,0,1,1
Emily in Paris: Season 2,Emily in Paris,Emily in Paris: Season 2,TV,1,1,1,1,1,1
Emma.,Emma.,N/A,Films,0,0,0,0,1,0
Encounter,Encounter,N/A,TV,0,0,1,0,0,0
Enforcement,Enforcement,N/A,Films,1,0,0,1,0,0
Enough,Enough,N/A,Films,1,0,0,1,0,0
Entre Amis,Entre Amis,N/A,Films,0,1,0,0,0,0
Escape from Pretoria,Escape from Pretoria,N/A,Films,0,0,1,0,0,0
Escape Room,Escape Room,N/A,Films,1,1,1,1,0,0
Everything Will Be Fine: Season 1,Everything Will Be Fine,Everything Will Be Fine: Season 1,TV,0,0,0,1,0,0
Executive Decision,Executive Decision,N/A,Films,0,1,0,0,0,0
Exit,Exit,N/A,Films,0,0,1,0,0,0
Extinct,Extinct,N/A,Films,1,0,0,1,0,1
Extraordinary You: Season 1,Extraordinary You,Extraordinary You: Season 1,TV,0,0,1,0,0,0
Extreme Job,Extreme Job,N/A,Films,0,0,1,0,0,0
F*ck Love Too,F*ck Love Too,N/A,Films,1,1,0,1,0,1
Falling for Figaro,Falling for Figaro,N/A,Films,0,0,0,0,1,0
Falling Into Your Smile: Season 1,Falling Into Your Smile,Falling Into Your Smile: Season 1,TV,0,0,0,1,0,0
Falsa identidad: Season 1,Falsa identidad,Falsa identidad: Season 1,TV,0,0,0,1,0,0
Falsa identidad: Season 2,Falsa identidad,Falsa identidad: Season 2,TV,0,0,0,1,0,0
Family Business: Season 3,Family Business,Family Business: Season 3,TV,0,1,0,0,0,0
Fantastic Beasts and Where To Find Them,Fantastic Beasts and Where To Find Them,N/A,Films,0,0,1,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,N/A,Films,0,0,1,0,0,0
Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,N/A,Films,1,0,1,1,1,0
Faster,Faster,N/A,Films,1,0,0,1,0,0
Fatale,Fatale,N/A,Films,0,0,0,1,0,0
Father Christmas Is Back,Father Christmas Is Back,N/A,Films,0,1,0,1,1,1
Fatherhood,Fatherhood,N/A,Films,1,1,1,1,1,1
Fathers & Daughters,Fathers & Daughters,N/A,Films,0,0,0,1,0,0
Fear of Rain,Fear of Rain,N/A,Films,0,0,0,0,1,0
Fear Street Part 1: 1994,Fear Street Part 1: 1994,N/A,Films,1,1,0,1,1,1
Fear Street Part 2: 1978,Fear Street Part 2: 1978,N/A,Films,1,0,1,1,1,1
Fear Street Part 3: 1666,Fear Street Part 3: 1666,N/A,Films,1,1,0,1,1,1
Feria: The Darkest Light: Season 1,Feria: The Darkest Light,Feria: The Darkest Light: Season 1,TV,0,1,0,0,0,0
Fever Dream,Fever Dream,N/A,Films,1,0,0,0,0,0
Final Score,Final Score,N/A,Films,1,0,0,1,0,0
Firedrake the Silver Dragon,Firedrake the Silver Dragon,N/A,Films,1,1,0,0,0,1
First Kill,First Kill,N/A,Films,1,0,0,1,0,0
First Kill: Season 1,First Kill,First Kill: Season 1,TV,1,1,0,1,1,1
First Love,First Love,N/A,Films,0,0,1,0,0,0
First Sunday,First Sunday,N/A,Films,0,0,0,0,0,1
Fishbowl Wives: Season 1,Fishbowl Wives,Fishbowl Wives: Season 1,TV,0,0,1,0,0,0
Fistful of Vengeance,Fistful of Vengeance,N/A,Films,1,1,1,0,1,1
Five Feet Apart,Five Feet Apart,N/A,Films,0,0,0,1,0,1
Flip a Coin -ONE OK ROCK Documentary-,Flip a Coin -ONE OK ROCK Documentary-,N/A,Films,0,0,1,0,0,0
Fool's Gold,Fool's Gold,N/A,Films,0,0,0,0,0,1
For Life: Season 1,For Life,For Life: Season 1,TV,1,0,0,1,0,0
For Life: Season 2,For Life,For Life: Season 2,TV,1,0,0,0,0,0
Forecasting Love and Weather: Season 1,Forecasting Love and Weather,Forecasting Love and Weather: Season 1,TV,0,0,1,1,0,0
Forgetting Sarah Marshall,Forgetting Sarah Marshall,N/A,Films,0,0,0,0,0,1
Formula 1: Drive to Survive: Season 4,Formula 1: Drive to Survive,Formula 1: Drive to Survive: Season 4,TV,0,1,0,1,1,0
Forrest Gump,Forrest Gump,N/A,Films,0,0,0,0,0,1
Forsaken,Forsaken,N/A,Films,0,0,0,1,0,0
Fortuna's Eye,Fortuna's Eye,N/A,Films,0,0,1,0,0,0
Four Brothers,Four Brothers,N/A,Films,0,0,0,0,0,1
Fracture,Fracture,N/A,Films,1,0,0,1,1,0
Freedom Writers,Freedom Writers,N/A,Films,0,0,0,0,0,1
Friends: Season 6,Friends,Friends: Season 6,TV,0,0,0,0,1,0
Friendzone,Friendzone,N/A,Films,1,1,0,1,0,0
FullMetal Alchemist,FullMetal Alchemist,N/A,Films,0,0,1,0,0,0
Furious 7,Furious 7,N/A,Films,0,0,1,0,0,0
Furioza,Furioza,N/A,Films,1,1,0,1,0,0
G.I. Joe: Retaliation,G.I. Joe: Retaliation,N/A,Films,0,1,0,0,0,0
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,N/A,Films,1,0,0,1,0,0
Gabby's Dollhouse: Season 2,Gabby's Dollhouse,Gabby's Dollhouse: Season 2,TV,0,0,0,0,1,0
Game Night,Game Night,N/A,Films,0,1,0,0,0,0
Ganglands: Season 1,Ganglands,Ganglands: Season 1,TV,1,1,0,1,0,0
Gangubai Kathiawadi,Gangubai Kathiawadi,N/A,Films,0,0,0,1,1,0
Gantz,Gantz,N/A,Films,0,0,1,0,0,0
Gantz II: Perfect Answer,Gantz II: Perfect Answer,N/A,Films,0,0,1,0,0,0
Gemini Man,Gemini Man,N/A,Films,1,0,0,1,1,0
Geostorm,Geostorm,N/A,Films,0,1,1,0,0,0
Get Organized with The Home Edit: Season 2,Get Organized with The Home Edit,Get Organized with The Home Edit: Season 2,TV,0,0,0,0,0,1
Get Rich or Die Tryin',Get Rich or Die Tryin',N/A,Films,0,0,0,0,1,0
Ghost in the Shell: SAC_2045 Sustainable War,Ghost in the Shell: SAC_2045 Sustainable War,N/A,Films,0,0,1,0,0,0
Ghost in the Shell: SAC_2045: Season 2,Ghost in the Shell: SAC_2045,Ghost in the Shell: SAC_2045: Season 2,TV,0,0,1,0,0,0
Ghost Ship,Ghost Ship,N/A,Films,0,0,0,1,0,0
Ginny & Georgia: Season 1,Ginny & Georgia,Ginny & Georgia: Season 1,TV,0,0,0,0,1,0
Gladiator,Gladiator,N/A,Films,0,0,0,0,0,1
Glamour Girls,Glamour Girls,N/A,Films,1,1,0,1,0,0
God's Favorite Idiot: Season 1,God's Favorite Idiot,God's Favorite Idiot: Season 1,TV,0,0,0,0,1,1
Gods of Egypt,Gods of Egypt,N/A,Films,0,0,0,0,1,0
Godzilla: King of the Monsters,Godzilla: King of the Monsters,N/A,Films,0,1,0,0,0,0
Going in Style,Going in Style,N/A,Films,0,0,0,0,0,1
Golden Kamuy: Season 3,Golden Kamuy,Golden Kamuy: Season 3,TV,0,0,1,0,0,0
GOLGO13: Collection 1,GOLGO13,GOLGO13: Collection 1,TV,0,0,1,0,0,0
Gone Baby Gone,Gone Baby Gone,N/A,Films,0,0,0,0,1,0
Gone for Good: Limited Series,Gone for Good,Gone for Good: Limited Series,TV,0,1,0,0,0,0
Good Girls: Season 1,Good Girls,Good Girls: Season 1,TV,0,0,0,0,1,1
Good Girls: Season 4,Good Girls,Good Girls: Season 4,TV,1,1,0,1,1,1
Good on Paper,Good on Paper,N/A,Films,1,0,0,0,1,1
Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,N/A,Films,1,1,0,1,0,0
Grace and Frankie: Season 7,Grace and Frankie,Grace and Frankie: Season 7,TV,0,0,0,0,1,1
Gran Torino,Gran Torino,N/A,Films,1,0,0,1,0,0
Great White,Great White,N/A,Films,1,0,0,0,0,0
Greed,Greed,N/A,Films,0,0,0,0,1,0
Green Lantern,Green Lantern,N/A,Films,0,0,0,0,0,1
Green Mothers' Club: Season 1,Green Mothers' Club,Green Mothers' Club: Season 1,TV,0,0,1,0,0,0
Green Snake,Green Snake,N/A,Films,1,0,0,0,0,0
Greenland,Greenland,N/A,Films,0,0,1,0,0,0
Grey's Anatomy: Season 17,Grey's Anatomy,Grey's Anatomy: Season 17,TV,1,0,0,1,0,1
Gridiron Gang,Gridiron Gang,N/A,Films,0,1,0,0,0,0
Grown Ups,Grown Ups,N/A,Films,0,0,0,0,1,1
Grown Ups 2,Grown Ups 2,N/A,Films,0,0,0,0,1,0
Grudge,Grudge,N/A,Films,1,0,0,0,0,0
Grumpy Christmas,Grumpy Christmas,N/A,Films,0,0,0,1,0,0
Gunpowder Milkshake,Gunpowder Milkshake,N/A,Films,0,0,0,0,0,1
Guns Akimbo,Guns Akimbo,N/A,Films,0,0,1,0,0,0
Hachi: A Dog's Tale,Hachi: A Dog's Tale,N/A,Films,0,0,0,0,1,0
Hairspray,Hairspray,N/A,Films,0,0,0,0,1,0
Halftime,Halftime,N/A,Films,0,0,0,1,1,1
Halloween,Halloween,N/A,Films,0,1,0,0,0,1
Hanna,Hanna,N/A,Films,0,1,0,0,0,0
Happy Death Day,Happy Death Day,N/A,Films,0,0,1,0,0,0
Happy Death Day 2U,Happy Death Day 2U,N/A,Films,0,0,1,0,0,0
Happy Gilmore,Happy Gilmore,N/A,Films,0,0,0,0,0,1
Hard Cell: Season 1,Hard Cell,Hard Cell: Season 1,TV,0,0,0,0,1,0
Hard Target 2,Hard Target 2,N/A,Films,0,1,0,0,0,0
Harriet,Harriet,N/A,Films,0,0,0,0,1,0
He's All That,He's All That,N/A,Films,1,1,1,1,1,1
He's Expecting: Season 1,He's Expecting,He's Expecting: Season 1,TV,0,0,1,0,0,0
Heart Parade,Heart Parade,N/A,Films,1,1,0,1,0,0
Heartland: Season 14,Heartland,Heartland: Season 14,TV,0,0,0,0,0,1
Heartland: Season 15,Heartland,Heartland: Season 15,TV,1,0,0,0,0,0
Heartstopper: Season 1,Heartstopper,Heartstopper: Season 1,TV,1,1,0,1,1,0
Heat,Heat,N/A,Films,0,1,1,1,0,0
Heavenly Bites: Mexico: Season 1,Heavenly Bites: Mexico,Heavenly Bites: Mexico: Season 1,TV,0,0,0,1,0,0
Heirs to the Land: Season 1,Heirs to the Land,Heirs to the Land: Season 1,TV,1,1,0,0,0,0
Heist: Season 1,Heist,Heist: Season 1,TV,0,0,0,0,1,1
Hell on the Border,Hell on the Border,N/A,Films,0,0,0,1,0,0
Hellbound: Season 1,Hellbound,Hellbound: Season 1,TV,1,1,1,1,1,1
Hello World,Hello World,N/A,Films,0,0,1,0,0,0
Her Private Life: Season 1,Her Private Life,Her Private Life: Season 1,TV,0,0,1,0,0,0
Here Comes the Boom,Here Comes the Boom,N/A,Films,0,0,0,0,0,1
Hero,Hero,N/A,Films,0,0,1,0,0,0
Hero (2015),Hero (2015),N/A,Films,0,0,1,0,0,0
Hey Handsome!!,Hey Handsome!!,N/A,TV,0,0,1,0,0,0
his,his,N/A,Films,0,0,1,0,0,0
Hit & Run: Season 1,Hit & Run,Hit & Run: Season 1,TV,1,1,0,1,1,1
Hit Me Anyone One More Time!,Hit Me Anyone One More Time!,N/A,Films,0,0,1,0,0,0
Hold Tight: Limited Series,Hold Tight,Hold Tight: Limited Series,TV,1,1,0,1,0,0
Hollow Man,Hollow Man,N/A,Films,0,1,0,0,0,0
Home,Home,N/A,Films,0,0,0,0,0,1
Home Team,Home Team,N/A,Films,1,1,1,1,1,1
Homefront,Homefront,N/A,Films,1,0,0,1,1,0
Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,TV,1,0,1,1,0,0
Homme Fatale,Homme Fatale,N/A,Films,0,0,1,0,0,0
Honeymoon with My Mother,Honeymoon with My Mother,N/A,Films,1,1,0,1,0,1
Hop,Hop,N/A,Films,0,0,0,0,1,1
Hope,Hope,N/A,Films,0,0,1,0,0,0
Horsemen,Horsemen,N/A,Films,0,0,0,1,0,0
Hospital Playlist: Season 2,Hospital Playlist,Hospital Playlist: Season 2,TV,0,0,1,0,0,0
Hotel Transylvania 2,Hotel Transylvania 2,N/A,Films,1,1,0,0,0,0
Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,N/A,Films,1,1,0,1,0,0
How I Became a Superhero,How I Became a Superhero,N/A,Films,1,1,1,0,0,0
How I Fell in Love with a Gangster,How I Fell in Love with a Gangster,N/A,Films,1,1,0,0,0,0
How It Ends,How It Ends,N/A,Films,0,1,0,0,1,1
How the Grinch Stole Christmas,How the Grinch Stole Christmas,N/A,Films,0,1,0,1,0,0
How to Be Single,How to Be Single,N/A,Films,0,0,0,0,1,0
How to Become the Worst Student at School,How to Become the Worst Student at School,N/A,Films,1,0,0,0,0,0
How to Eliminate My Teacher: Season 1,How to Eliminate My Teacher,How to Eliminate My Teacher: Season 1,TV,0,0,1,0,0,0
How to Sell Drugs Online (Fast): Season 3,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast): Season 3,TV,1,1,0,0,0,0
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,N/A,Films,1,1,0,1,0,0
Hubie Halloween,Hubie Halloween,N/A,Films,0,0,0,0,0,1
Human Resources: Season 1,Human Resources,Human Resources: Season 1,TV,0,0,0,0,0,1
Hunter Killer,Hunter Killer,N/A,Films,0,0,1,0,0,0
Hunter X Hunter (2011): Season 5,Hunter X Hunter (2011),Hunter X Hunter (2011): Season 5,TV,0,0,0,0,0,1
Hustle,Hustle,N/A,Films,1,1,0,1,1,1
Hype House: Season 1,Hype House,Hype House: Season 1,TV,0,0,0,0,0,1
Hypnotic,Hypnotic,N/A,Films,1,1,0,1,1,1
I Am Georgina: Season 1,I Am Georgina,I Am Georgina: Season 1,TV,0,1,0,1,0,0
I Don't Know How She Does It,I Don't Know How She Does It,N/A,Films,0,0,0,1,0,0
I Don't Know Whether to Slit My Wrists or Leave Them Long,I Don't Know Whether to Slit My Wrists or Leave Them Long,N/A,Films,0,0,0,1,0,0
I Now Pronounce You Chuck and Larry,I Now Pronounce You Chuck and Larry,N/A,Films,0,0,0,0,1,0
I Swear It Wasn't Me,I Swear It Wasn't Me,N/A,Films,0,0,0,1,0,0
I'm More Myself,I'm More Myself,N/A,Films,1,0,0,0,0,0
ID2: Shadwell Army,ID2: Shadwell Army,N/A,Films,0,0,0,0,1,0
Identity Thief,Identity Thief,N/A,Films,1,0,0,0,0,0
Ilhados,Ilhados,N/A,Films,1,0,0,0,0,0
In for a Murder,In for a Murder,N/A,Films,1,0,0,1,0,0
In From the Cold: Season 1,In From the Cold,In From the Cold: Season 1,TV,1,1,0,0,1,1
In Good Hands,In Good Hands,N/A,Films,1,1,0,1,0,1
In the Dark: Season 3,In the Dark,In the Dark: Season 3,TV,0,0,0,0,0,1
In This Corner (and Other Corners) of the World,In This Corner (and Other Corners) of the World,N/A,Films,0,0,1,0,0,0
In Time,In Time,N/A,Films,1,0,1,1,1,0
Inside Job: Part 1,Inside Job,Inside Job: Part 1,TV,0,0,0,0,1,1
Interceptor,Interceptor,N/A,Films,1,1,1,1,1,1
Intervenção,Intervenção,N/A,Films,1,0,0,0,0,0
Intimacy: Season 1,Intimacy,Intimacy: Season 1,TV,1,1,0,1,0,0
Into the Wind,Into the Wind,N/A,Films,1,0,0,1,0,0
Intolerance,Intolerance,N/A,Films,0,0,1,0,0,0
Intrusion,Intrusion,N/A,Films,1,1,1,1,1,1
Invasion,Invasion,N/A,Films,1,0,0,1,0,0
Inventing Anna: Limited Series,Inventing Anna,Inventing Anna: Limited Series,TV,1,1,1,1,1,1
Iron Chef: Quest for an Iron Legend: Season 1,Iron Chef: Quest for an Iron Legend,Iron Chef: Quest for an Iron Legend: Season 1,TV,0,0,0,0,0,1
Iron Man,Iron Man,N/A,Films,0,0,1,0,0,0
Is It Cake?: Season 1,Is It Cake?,Is It Cake?: Season 1,TV,1,0,0,1,1,1
It,It,N/A,Films,0,0,0,0,0,1
It Chapter Two,It Chapter Two,N/A,Films,0,0,0,0,1,0
It Comes,It Comes,N/A,Films,0,0,1,0,0,0
It’s Your Fault That My Heart Beats,It’s Your Fault That My Heart Beats,N/A,Films,0,0,1,0,0,0
Itaewon Class: Season 1,Itaewon Class,Itaewon Class: Season 1,TV,0,0,1,0,0,0
Iwane: Sword of Serenity,Iwane: Sword of Serenity,N/A,Films,0,0,1,0,0,0
Jack Reacher,Jack Reacher,N/A,Films,1,1,1,1,0,0
Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,N/A,Films,1,0,1,1,0,0
Jack Whitehall: Travels with My Father: Season 5,Jack Whitehall: Travels with My Father,Jack Whitehall: Travels with My Father: Season 5,TV,0,0,0,0,1,0
Jackass 4.5,Jackass 4.5,N/A,Films,0,1,0,1,1,1
JAPAN SINKS: People of Hope: Season 1,JAPAN SINKS: People of Hope,JAPAN SINKS: People of Hope: Season 1,TV,0,0,1,0,0,0
Jarhead 2: Field of Fire,Jarhead 2: Field of Fire,N/A,Films,0,1,0,0,0,0
Jason Bourne,Jason Bourne,N/A,Films,0,0,1,0,0,0
Jaws,Jaws,N/A,Films,0,0,0,0,0,1
jeen-yuhs: A Kanye Trilogy,jeen-yuhs: A Kanye Trilogy,N/A,TV,0,0,0,0,1,1
Jenni Rivera: Mariposa de Barrio: Season 1,Jenni Rivera: Mariposa de Barrio,Jenni Rivera: Mariposa de Barrio: Season 1,TV,0,0,0,1,0,0
Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,N/A,Films,0,0,0,1,0,0
Jimmy Savile: A British Horror Story: Limited Series,Jimmy Savile: A British Horror Story,Jimmy Savile: A British Horror Story: Limited Series,TV,0,0,0,0,1,0
John of God: The Crimes of a Spiritual Healer: Season 1,John of God: The Crimes of a Spiritual Healer,John of God: The Crimes of a Spiritual Healer: Season 1,TV,1,0,0,0,0,0
John Wick,John Wick,N/A,Films,0,0,1,0,0,0
John Wick: Chapter 2,John Wick: Chapter 2,N/A,Films,1,0,1,1,1,0
John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,N/A,Films,0,0,1,1,0,0
Johnny Hallyday: Beyond Rock: Season 1,Johnny Hallyday: Beyond Rock,Johnny Hallyday: Beyond Rock: Season 1,TV,0,1,0,0,0,0
JoJo's Bizarre Adventure: STONE OCEAN,JoJo's Bizarre Adventure,JoJo's Bizarre Adventure: STONE OCEAN,TV,0,0,1,0,0,0
Joker,Joker,N/A,Films,0,0,0,0,1,0
Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,N/A,Films,0,0,0,0,0,1
Jujutsu Kaisen: Season 1,Jujutsu Kaisen,Jujutsu Kaisen: Season 1,TV,0,0,1,0,0,0
Jumanji,Jumanji,N/A,Films,0,0,0,0,0,1
Jumanji: The Next Level,Jumanji: The Next Level,N/A,Films,0,0,1,0,1,0
Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,N/A,Films,0,1,0,0,0,0
Jurassic World Camp Cretaceous: Season 4,Jurassic World Camp Cretaceous,Jurassic World Camp Cretaceous: Season 4,TV,0,0,0,1,0,1
Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,N/A,Films,0,1,0,0,0,0
Just Go With It,Just Go With It,N/A,Films,1,0,0,1,0,1
Just Like Heaven,Just Like Heaven,N/A,Films,0,0,1,0,0,1
Just Short of Perfect,Just Short of Perfect,N/A,Films,1,0,0,0,0,0
Justice League,Justice League,N/A,Films,0,1,0,0,0,0
Juvenile Justice: Season 1,Juvenile Justice,Juvenile Justice: Season 1,TV,0,0,1,1,0,0
K-19: The Widowmaker,K-19: The Widowmaker,N/A,Films,0,1,0,0,0,0
Kaguya-sama: Love Is War,Kaguya-sama: Love Is War,N/A,Films,0,0,1,0,0,0
Kasane,Kasane,N/A,Films,0,0,1,0,0,0
Kate,Kate,N/A,Films,1,1,1,1,1,1
Keep Sweet: Pray and Obey: Limited Series,Keep Sweet: Pray and Obey,Keep Sweet: Pray and Obey: Limited Series,TV,0,0,0,0,1,1
Kiba: The Fangs of Fiction,Kiba: The Fangs of Fiction,N/A,Films,0,0,1,0,0,0
King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,N/A,Films,0,0,1,0,0,1
Kingdom: Ashin of the North,Kingdom: Ashin of the North,N/A,Films,1,1,1,1,0,0
"Kiss Him, Not Me","Kiss Him, Not Me",N/A,Films,0,0,1,0,0,0
Kitz: Season 1,Kitz,Kitz: Season 1,TV,0,1,0,0,0,0
Knight and Day,Knight and Day,N/A,Films,0,1,1,0,0,0
Knives Out,Knives Out,N/A,Films,0,0,0,1,0,0
Knuckle,Knuckle,N/A,Films,0,0,0,0,1,0
Kong: Skull Island,Kong: Skull Island,N/A,Films,0,0,1,0,1,0
Kotaro Lives Alone: Season 1,Kotaro Lives Alone,Kotaro Lives Alone: Season 1,TV,0,0,1,0,0,0
Kung Fu Hustle,Kung Fu Hustle,N/A,Films,1,0,0,0,0,0
Kung Fu Panda,Kung Fu Panda,N/A,Films,0,0,0,0,1,1
Kung Fu Panda 2,Kung Fu Panda 2,N/A,Films,0,0,0,0,0,1
Kung Fu Panda 3,Kung Fu Panda 3,N/A,Films,1,0,0,1,0,1
Kuroko's Basketball: Last Game,Kuroko's Basketball: Last Game,N/A,Films,0,0,1,0,0,0
Kuroko's Basketball: Season 1,Kuroko's Basketball,Kuroko's Basketball: Season 1,TV,0,0,1,0,0,0
L.A.’s Finest: Season 1,L.A.’s Finest,L.A.’s Finest: Season 1,TV,0,0,0,0,1,0
La bella y las bestias: Season 1,La bella y las bestias,La bella y las bestias: Season 1,TV,0,0,0,1,0,0
La ley de Herodes,La ley de Herodes,N/A,Films,0,0,0,1,0,0
La leyenda de la Nahuala,La leyenda de la Nahuala,N/A,Films,0,0,0,1,0,0
La leyenda del Charro Negro,La leyenda del Charro Negro,N/A,Films,0,0,0,1,0,0
La Reina del Sur: Season 2,La Reina del Sur,La Reina del Sur: Season 2,TV,0,0,0,1,0,0
Lakeview Terrace,Lakeview Terrace,N/A,Films,0,1,0,0,0,0
Laplace's Witch,Laplace's Witch,N/A,Films,0,0,1,0,0,0
Last Christmas,Last Christmas,N/A,Films,1,0,0,0,1,0
Last Knights,Last Knights,N/A,Films,0,0,0,1,0,0
Last Letter,Last Letter,N/A,Films,0,0,1,0,0,0
Last Man Down,Last Man Down,N/A,Films,0,0,0,0,1,1
Last One Standing: Season 1,Last One Standing,Last One Standing: Season 1,TV,0,0,1,0,0,0
Law Abiding Citizen,Law Abiding Citizen,N/A,Films,0,0,0,0,0,1
Lawless Lawyer,Lawless Lawyer,N/A,TV,0,0,1,0,0,0
Legacies: Season 4,Legacies,Legacies: Season 4,TV,0,0,0,0,0,1
Legend,Legend,N/A,Films,0,0,0,0,1,0
Leon's Heart,Leon's Heart,N/A,Films,0,0,0,1,0,0
Les déguns,Les déguns,N/A,Films,0,1,0,0,0,0
Let's Dance,Let's Dance,N/A,Films,0,1,0,0,0,0
Liar × Liar,Liar × Liar,N/A,Films,0,0,1,0,0,0
Liar: Season 1,Liar,Liar: Season 1,TV,0,0,0,0,1,0
Lies and Deceit: Season 1,Lies and Deceit,Lies and Deceit: Season 1,TV,0,1,0,1,0,0
Life,Life,N/A,Films,0,0,0,0,0,1
Life After Death with Tyler Henry: Season 1,Life After Death with Tyler Henry,Life After Death with Tyler Henry: Season 1,TV,0,0,0,0,1,1
Lionheart,Lionheart,N/A,Films,0,1,0,0,0,0
Little Women,Little Women,N/A,Films,0,0,0,0,1,0
Loca por el trabajo,Loca por el trabajo,N/A,Films,0,0,0,1,0,0
Locke & Key: Season 1,Locke & Key,Locke & Key: Season 1,TV,0,1,0,0,1,0
Locke & Key: Season 2,Locke & Key,Locke & Key: Season 2,TV,1,1,0,1,1,1
Lockout,Lockout,N/A,Films,0,1,0,0,1,0
LOL,LOL,N/A,Films,0,1,0,0,0,0
Lolo,Lolo,N/A,Films,0,1,0,0,0,0
London Has Fallen,London Has Fallen,N/A,Films,0,0,0,0,0,1
Looking for Teddy,Looking for Teddy,N/A,Films,0,1,0,0,0,0
Looper,Looper,N/A,Films,0,0,0,0,0,1
Lord of War,Lord of War,N/A,Films,0,0,0,0,1,0
Lords of Scam,Lords of Scam,N/A,Films,0,1,0,0,0,0
Losing It,Losing It,N/A,Films,0,1,0,0,0,0
Lost in Space: Season 1,Lost in Space,Lost in Space: Season 1,TV,1,1,0,0,1,1
Lost in Space: Season 2,Lost in Space,Lost in Space: Season 2,TV,0,1,0,0,0,0
Lost in Space: Season 3,Lost in Space,Lost in Space: Season 3,TV,1,1,0,1,1,1
Lost Paradise,Lost Paradise,N/A,Films,0,0,0,1,0,0
Love (ft. Marriage and Divorce): Season 2,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 2,TV,0,0,1,0,0,0
Love (ft. Marriage and Divorce): Season 3,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 3,TV,0,0,1,0,0,0
Love & Gelato,Love & Gelato,N/A,Films,1,1,0,1,1,1
Love Actually,Love Actually,N/A,Films,0,0,0,0,1,0
Love and Leashes,Love and Leashes,N/A,Films,0,0,1,0,0,0
Love Hard,Love Hard,N/A,Films,1,1,1,1,1,1
Love Is Blind: Brazil: Season 1,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 1,TV,1,0,0,0,0,0
Love is Blind: Japan: Season 1,Love is Blind: Japan,Love is Blind: Japan: Season 1,TV,0,0,1,0,0,0
Love Is Blind: Season 1,Love Is Blind,Love Is Blind: Season 1,TV,0,0,0,0,1,1
Love Is Blind: Season 2,Love Is Blind,Love Is Blind: Season 2,TV,0,0,0,0,1,1
Love Like the Falling Petals,Love Like the Falling Petals,N/A,Films,0,0,1,0,0,0
"Love Me, Love Me Not","Love Me, Love Me Not",N/A,Films,0,0,1,0,0,0
Love of My Loves,Love of My Loves,N/A,Films,0,0,0,1,0,0
Love on the Spectrum U.S.: Season 1,Love on the Spectrum U.S.,Love on the Spectrum U.S.: Season 1,TV,0,0,0,0,0,1
Love Tactics,Love Tactics,N/A,Films,1,1,0,1,0,0
Luccas Neto em: O Mapa do Tesouro 2,Luccas Neto em: O Mapa do Tesouro 2,N/A,Films,1,0,0,0,0,0
Luccas Neto em: O Plano dos Vilões,Luccas Neto em: O Plano dos Vilões,N/A,Films,1,0,0,0,0,0
Luccas Neto in: The Magical Hotel 2,Luccas Neto in: The Magical Hotel 2,N/A,Films,1,0,0,0,0,0
Lucifer: Season 1,Lucifer,Lucifer: Season 1,TV,0,0,0,0,1,0
Lucifer: Season 2,Lucifer,Lucifer: Season 2,TV,0,0,0,0,1,0
Lucifer: Season 3,Lucifer,Lucifer: Season 3,TV,0,0,0,0,1,0
Lucifer: Season 5,Lucifer,Lucifer: Season 5,TV,1,1,0,0,0,0
Lucifer: Season 6,Lucifer,Lucifer: Season 6,TV,1,1,0,1,1,1
Luis Miguel - The Series: Season 3,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,TV,0,0,0,1,0,0
Lulli,Lulli,N/A,Films,1,1,0,0,0,0
Lupin: Part 2,Lupin,Lupin: Part 2,TV,1,1,0,0,1,0
Ma,Ma,N/A,Films,0,0,1,1,0,0
Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,N/A,Films,0,0,0,0,1,0
Mahjong Legend Akagi: The Genius Who Descended Into the Darkness: Season 1,Mahjong Legend Akagi: The Genius Who Descended Into the Darkness,Mahjong Legend Akagi: The Genius Who Descended Into the Darkness: Season 1,TV,0,0,1,0,0,0
Maid: Limited Series,Maid,Maid: Limited Series,TV,1,1,1,1,1,1
