video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
Amores perros,Amores perros,N/A,Films,0,0,0,1,0,0
An Unfinished Life,An Unfinished Life,N/A,Films,0,0,0,0,0,1
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,1,1,0,1,1,1
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,N/A,Films,0,0,0,0,0,1
Angèle,Angèle,N/A,Films,0,1,0,0,0,0
Anna,Anna,N/A,Films,0,0,1,1,0,0
Annabelle Comes Home,Annabelle Comes Home,N/A,Films,0,0,0,0,1,0
Annabelle: Creation,Annabelle: Creation,N/A,Films,0,0,0,0,0,1
Anonymously Yours,Anonymously Yours,N/A,Films,1,1,0,1,0,0
Anything for a Pop Star,Anything for a Pop Star,N/A,Films,1,0,0,0,0,0
Apocalypse Now Redux,Apocalypse Now Redux,N/A,Films,0,0,0,0,0,1
Aquaman,Aquaman,N/A,Films,0,1,0,0,1,0
Arcane: Season 1,Arcane,Arcane: Season 1,TV,1,1,0,1,1,1
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,1,1,0,1,1,1
Are We Done Yet?,Are We Done Yet?,N/A,Films,0,1,0,0,0,0
Army of the Dead,Army of the Dead,N/A,Films,1,1,0,1,0,1
Army of Thieves,Army of Thieves,N/A,Films,1,1,1,1,1,1
Arthur and the Invisibles,Arthur and the Invisibles,N/A,Films,1,0,0,0,0,0
"As Above, So Below","As Above, So Below",N/A,Films,0,0,1,0,0,0
As Aventuras de Poliana: Season 1,As Aventuras de Poliana,As Aventuras de Poliana: Season 1,TV,1,0,0,0,0,0
As the Crow Flies: Season 1,As the Crow Flies,As the Crow Flies: Season 1,TV,0,1,0,0,0,0
Asakusa Kid,Asakusa Kid,N/A,Films,0,0,1,0,0,0
Ashes in the Snow,Ashes in the Snow,N/A,Films,0,0,0,1,0,0
Assassination Classroom,Assassination Classroom,N/A,Films,0,0,1,0,0,0
Assassination Classroom: Graduation,Assassination Classroom: Graduation,N/A,Films,0,0,1,0,0,0
Assault on Precinct 13,Assault on Precinct 13,N/A,Films,0,0,0,0,1,0
Atypical: Season 4,Atypical,Atypical: Season 4,TV,1,1,0,0,1,1
Avalanche: Season 1,Avalanche,Avalanche: Season 1,TV,0,0,1,0,0,0
Back to 15: Season 1,Back to 15,Back to 15: Season 1,TV,1,1,0,0,0,0
Back to the Outback,Back to the Outback,N/A,Films,1,1,1,1,1,1
Backtrace,Backtrace,N/A,Films,1,0,0,1,0,1
Bad Boys for Life,Bad Boys for Life,N/A,Films,0,0,1,0,1,0
Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,Bad Vegan: Fame. Fraud. Fugitives.,Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,TV,0,0,0,0,1,1
Bake Squad: Season 1,Bake Squad,Bake Squad: Season 1,TV,0,0,0,0,0,1
Baki Hanma: Season 1,Baki Hanma,Baki Hanma: Season 1,TV,0,1,1,0,0,0
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside: Season 1","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside: Season 1",TV,0,0,1,0,0,0
Bankrolled,Bankrolled,N/A,Films,0,0,0,1,0,0
Barbecue,Barbecue,N/A,Films,0,1,0,0,0,0
Barbie Big City Big Dreams,Barbie Big City Big Dreams,N/A,Films,1,1,0,0,0,0
Barbie: A Fairy Secret,Barbie: A Fairy Secret,N/A,Films,1,0,0,0,0,0
Barbie: Princess Charm School,Barbie: Princess Charm School,N/A,Films,1,0,0,0,0,0
Bartkowiak,Bartkowiak,N/A,Films,1,1,0,1,0,0
"BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1","BASTARD‼ -Heavy Metal, Dark Fantasy-","BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1",TV,0,0,1,0,0,0
Battleship,Battleship,N/A,Films,0,0,0,0,1,1
Baywatch,Baywatch,N/A,Films,0,1,1,0,0,0
Beautiful Gong Shim: Season 1,Beautiful Gong Shim,Beautiful Gong Shim: Season 1,TV,0,0,1,0,0,0
Beauty and the Beast,Beauty and the Beast,N/A,Films,1,0,0,1,0,0
Beckett,Beckett,N/A,Films,1,1,1,1,1,1
Bedazzled,Bedazzled,N/A,Films,0,0,0,1,0,0
Believe Me: The Abduction of Lisa McVey,Believe Me: The Abduction of Lisa McVey,N/A,Films,1,0,0,1,0,0
Belzebuth,Belzebuth,N/A,Films,0,0,0,1,0,0
Ben Is Back,Ben Is Back,N/A,Films,0,0,0,0,0,1
Better Call Saul: Season 5,Better Call Saul,Better Call Saul: Season 5,TV,0,0,0,0,0,1
Better Call Saul: Season 6,Better Call Saul,Better Call Saul: Season 6,TV,0,0,0,0,1,0
Big Mouth: Season 5,Big Mouth,Big Mouth: Season 5,TV,0,0,0,0,1,1
Big Timber: Season 1,Big Timber,Big Timber: Season 1,TV,0,0,0,0,1,1
Bigbug,Bigbug,N/A,Films,0,1,0,0,0,0
Black and Blue,Black and Blue,N/A,Films,0,0,1,0,1,0
Black Crab,Black Crab,N/A,Films,1,1,1,1,1,1
Black Hawk Down,Black Hawk Down,N/A,Films,0,0,0,0,1,0
Black Island,Black Island,N/A,Films,1,1,0,1,0,1
Blackhat,Blackhat,N/A,Films,0,0,0,0,0,1
BlacKkKlansman,BlacKkKlansman,N/A,Films,0,1,0,0,0,0
Blade Runner 2049,Blade Runner 2049,N/A,Films,0,0,0,0,1,1
