video_title,neg_sentiment_uk,neu_sentiment_uk,pos_sentiment_uk
Outer Banks: Season 2,8,12,4
Ozark: Season 1,102,138,138
Ozark: Season 2,102,137,139
Ozark: Season 4,102,137,139
Paddington,68,213,122
Paddington 2,4,13,18
Papillon,0,2,7
Patriots Day,0,2,1
PAW Patrol: Season 4,6,33,26
PAW Patrol: Season 6,6,33,26
Peaky Blinders: Season 1,255,618,446
Peppa Pig: Season 6,63,113,42
PIECES OF HER: Season 1,6,3,4
Piranha,0,2,1
Pok̩mon Detective Pikachu,0,1,0
Pretty Little Liars: Season 1,4,3,3
Queen of the South: Season 5,4,16,39
Queer Eye: Season 6,11,22,31
Raising Dion: Season 1,1,1,1
Raising Dion: Season 2,1,1,1
Ransom,0,5,2
Red Notice,24,47,79
Rescued by Ruby,0,2,1
Resort to Love,1,1,0
Restless,5,3,1
Return to Space,1,1,8
Rick and Morty: Season 5,7,56,14
Ricky Gervais: SuperNature,1,6,4
Rush Hour,11,252,135
S.W.A.T.: Season 3,8,54,20
Safe: Season 1,23,143,155
Save the Last Dance,0,0,1
Scary Movie,10,19,4
Schumacher,17,20,59
Security,113,478,159
See for Me,0,2,3
Selling Sunset: Season 4,172,135,71
Selling Sunset: Season 5,172,135,71
Selling Tampa: Season 1,19,27,13
Senior Year,7,6,15
Sex Education: Season 1,78,160,186
Sex Education: Season 2,78,160,186
Sex Education: Season 3,78,159,187
Sex/Life: Season 1,14,30,10
Shazam!,6,18,8
She's All That,3,4,3
She's the Man,0,1,2
Shot Caller,0,0,1
Sicario,1,1,1
Silent Hours,2,0,1
Silverton Siege,0,0,1
Single All The Way,4,19,36
Snowflake Mountain: Season 1,6,6,5
Solomon Kane,0,1,0
Sonic the Hedgehog,9,98,68
Sophie: A Murder in West Cork: Limited Series,0,1,0
Space Force: Season 2,2,5,7
Spider-Man,110,723,457
Spider-Man 2,4,4,15
Spider-Man 3,6,2,2
Spider-Man: Homecoming,1,9,6
Spiderhead,3,9,4
Spiral: From the Book of Saw,0,1,0
Split,2,14,7
Squid Game: Season 1,351,746,374
Stay Close: Limited Series,63,64,110
Storks,0,4,2
Stranger Things,343,869,602
Stranger Things 2,342,869,603
Stranger Things 3,342,869,603
Stranger Things 4,342,869,603
Suicide Squad,27,137,55
Superstore: Season 6,10,15,26
Sweet Girl,2,8,7
Sweet Magnolias: Season 2,3,1,4
Sweet Tooth: Season 1,2,69,45
Taboo: Season 1,7,46,19
Texas Chainsaw Massacre,38,39,16
The Adam Project,4,31,61
The Addams Family,2,13,15
The Amazing Spider-Man,0,11,8
The Amazing Spider-Man 2,2,3,3
The Baby-Sitters Club: Season 2,0,0,1
The Blind Side,1,0,5
The Bubble,4,9,13
The Chair: Season 1,6,15,20
The Chestnut Man: Season 1,1,8,18
The Christmas Chronicles,1,1,0
The Circle: Season 4,13,8,11
The Cook of Castamar: Season 1,0,1,2
The Cuphead Show!: Season 1,2,2,2
The Deceived: Series 1,1,0,3
The Deep End of the Ocean,0,1,0
The Defeated: Season 1,0,0,3
The Departed,1,2,0
The Emoji Movie,0,1,0
The Forgotten Battle,0,3,4
The Gentlemen,2,7,15
The Girl Next Door,0,1,1
The Girl with the Dragon Tattoo,0,1,0
The Good Liar,0,1,4
The Guilty,9,15,12
The Harder They Fall,10,37,53
The Holiday,33,36,37
The Hunt,2,6,5
The In Between,1,3,1
The Invisible Man,1,9,2
The Island,1,9,8
The Karate Kid,0,7,2
The King of Staten Island,0,4,1
The Kissing Booth 3,5,2,2
The Kitchen,0,2,3
The Last Kingdom: Season 5,9,29,32
The Ledge,0,2,0
The Legend of Tarzan,1,1,0
The Lego Batman Movie,0,1,1
The Lincoln Lawyer: Season 1,0,4,18
The Lost Daughter,13,15,23
The Magnificent Seven,1,3,1
The Man from Toronto,1,3,2
The Matrix,17,133,66
The Matrix Reloaded,0,1,1
The Missing: Season 1,2,6,2
The Missing: Season 2,2,6,2
The Mule,0,1,0
The Next Three Days,0,1,0
The Paedophile Hunter,1,1,1
The Peacemaker,0,0,1
The Power of the Dog,16,44,42
The Puppet Master: Hunting the Ultimate Conman: Season 1,1,0,0
The Royals: Season 1,5,8,10
The Salisbury Poisonings: Season 1,0,1,2
The Secret Life of Pets,0,0,1
The Secret: Season 1,2,13,14
The Serpent: Limited Series,5,2,3
The Seven Deadly Sins: Dragon's Judgement,1,0,1
The Shack,0,2,1
The Silencing,0,0,1
The Silent Sea: Season 1,8,6,11
The Sinner: Season 4: Percy,5,13,7
The Staircase: Season 1,19,28,20
The Starling,0,4,4
The Stranger: Limited Series,0,1,6
The Tinder Swindler,41,31,14
The Ultimatum: Marry or Move On: Season 1,2,1,2
The Umbrella Academy: Season 1,4,22,18
The Umbrella Academy: Season 2,4,22,18
The Umbrella Academy: Season 3,4,22,18
The Unforgivable,0,12,16
The Weekend Away,4,4,2
The Witcher: Nightmare of the Wolf,0,1,2
The Witcher: Season 1,27,120,115
The Witcher: Season 2,27,120,115
The Woman in the House Across the Street from the Girl in the Window: Season 1,5,11,4
There's Someone Inside Your House,1,2,1
Through My Window,0,1,0
Tiger King 2,18,31,11
Titans: Season 3,60,99,69
Tomb Raider,22,136,79
Too Hot to Handle: Season 2,23,39,12
Too Hot to Handle: Season 3,23,39,12
Top Boy: Season 1,28,59,46
Top Boy: Season 2,28,59,46
Trollhunters: Rise of the Titans,1,1,1
True Story: Limited Series,88,398,89
Turning Point: 9/11 and the War on Terror: Season 1,0,5,0
Underworld,2,20,5
Unfaithful,2,0,1
Van Helsing: Season 5,4,8,4
Vendetta,4,9,7
Vikings: Valhalla: Season 1,2,12,19
Villain,7,13,12
Virgin River: Season 1,10,10,20
Virgin River: Season 3,10,10,20
Vivo,3,7,7
Wanderlust,17,548,260
Welcome to Eden: Season 1,1,1,0
What Happens in Vegas,0,0,1
When Missing Turns to Murder: Season 1,1,0,0
Widows,2,6,8
Wild Bill,0,4,1
Windfall,7,8,1
Workin' Moms: Season 6,3,3,6
World Trade Center,12,36,4
Worst Roommate Ever: Season 1,8,4,6
Worth,1,23,13
Wrong Turn,8,4,4
Yara,1,2,1
You Don't Know Me: Season 1,19,14,45
You: Season 1,65,241,156
You: Season 2,65,241,156
You: Season 3,65,241,156
Young Sheldon: : Season 1,0,6,1
Young Sheldon: : Season 2,0,6,1
Young Sheldon: : Season 3,0,6,1
Zombieland: Double Tap,0,1,1
