video_title,neg_sentiment_mx,neu_sentiment_mx,pos_sentiment_mx
The Loud House Movie,3,0,0
The Marked Heart: Season 1,0,1,0
The Mask,0,1,1
The Old Ways,1,1,4
The Outpost,0,1,0
The Postcard Killings,0,0,1
The Power of the Dog,8,34,29
The Rite,0,2,0
The Royal Treatment,0,3,0
The Seven Deadly Sins: Dragon's Judgement,2,2,0
The Silent Sea: Season 1,0,2,1
The Sinner: Season 4: Percy,2,6,2
The Sound of Magic: Season 1,2,2,1
The Tinder Swindler,7,9,1
The Trip,0,1,0
The Umbrella Academy: Season 1,5,52,6
The Umbrella Academy: Season 3,5,52,6
The Unforgivable,1,2,4
The Vault,0,1,0
The Weekend Away,0,2,0
The Witcher: Season 1,14,42,26
The Witcher: Season 2,14,42,26
Titans: Season 3,56,170,61
Todos queremos a alguien,1,2,1
Toscana,0,6,3
Toy Boy: Season 1,0,6,1
Trollhunters: Rise of the Titans,1,0,2
Trolls,6,4,0
Troy,0,3,1
Turbo,4,29,3
Twenty Five Twenty One: Season 1,3,4,9
Unfaithful,0,0,1
Venom,30,219,52
Vikings: Valhalla: Season 1,4,14,7
Virgin River: Season 3,2,1,1
Vivo,1,71,17
Warcraft,1,3,0
Welcome to Eden: Season 1,1,0,0
Who Killed Sara?: Season 1,0,7,0
Who Killed Sara?: Season 3,0,7,0
Worst Roommate Ever: Season 1,0,0,2
Worth,0,2,0
Ya veremos,1,0,2
Yara,0,5,1
Yesterday,3,25,13
"Yo soy Betty, la fea: Season 1",5,15,8
You: Season 1,12,105,19
You: Season 3,12,105,19
