video_title,neg_sentiment_us,neu_sentiment_us,pos_sentiment_us
Nightbooks,3,9,13
No One Gets Out Alive,10,18,1
Old School,175,1665,599
Oldboy,1,10,3
On My Block: Season 4,229,170,122
Operation Mincemeat,0,9,7
Ouija: Origin of Evil,0,0,1
Our Father,139,90,35
Our Great National Parks: Limited Series,3,6,17
Outer Banks: Season 1,224,439,233
Outer Banks: Season 2,224,439,233
Outlander: Season 5,297,833,768
Ozark: Season 1,806,1013,648
Ozark: Season 2,807,1011,648
Ozark: Season 3,807,1013,649
Ozark: Season 4,805,1013,649
Passing,27,81,49
Peaky Blinders: Season 6,55,172,139
Peter Rabbit 2,2,13,4
PIECES OF HER: Season 1,20,35,21
Poms,1,5,12
Prey,12,79,36
Queen of the South: Season 5,37,61,48
Queer Eye: Season 6,39,80,93
Raising Dion: Season 1,42,57,73
Raising Dion: Season 2,42,57,73
Rambo,11,69,30
Rambo: Last Blood,0,2,4
Red Notice,103,301,272
Replicas,4,16,12
Reprisal,0,3,1
Rescued by Ruby,1,5,5
Resort to Love,4,17,20
Restless,16,21,2
Rise of the Guardians,0,4,4
Riverdale: Season 5,531,765,285
RRR (Hindi),0,1,1
Rurouni Kenshin: The Beginning,0,0,3
Safe House,1,23,46
SAS: Rise of the Black Swan,1,13,11
Scary Movie 4,0,2,0
School of Chocolate: Season 1,16,9,26
School of Rock,5,40,38
Seized,6,12,0
Selling Sunset: Season 4,559,512,265
Selling Sunset: Season 5,559,511,265
Selling Tampa: Season 1,255,284,174
Senior Year,31,350,461
Sex Education: Season 3,125,227,161
Sex/Life: Season 1,127,130,53
Shooter,124,294,72
Shrek,25,109,55
Shrek 2,3,8,3
Shrek Forever After,0,4,0
Silverton Siege,2,2,3
Sing 2,22,203,183
Single All The Way,27,78,131
Snowbound for Christmas,0,0,1
Snowflake Mountain: Season 1,36,32,20
Something Borrowed,4,2,1
Space Force: Season 2,38,172,83
Spiderhead,18,35,38
Squid Game: Season 1,1096,2257,955
St. Vincent,3,48,15
Stay Close: Limited Series,20,37,30
Step Brothers,7,62,16
Stranger Things,1266,2533,1186
Stranger Things 2,1266,2532,1186
Stranger Things 3,1266,2532,1187
Stranger Things 4,1265,2530,1186
Sweet Girl,18,75,81
Sweet Magnolias: Season 1,25,52,53
Sweet Magnolias: Season 2,25,52,53
Sweet Tooth: Season 1,24,299,293
Tall Girl 2,1,1,4
Teenage Mutant Ninja Turtles: Season 1,18,325,102
Terminator 2: Judgment Day,1,2,0
Texas Chainsaw Massacre,237,270,77
That's My Boy,4,79,81
The Adam Project,25,159,255
The Amazing Spider-Man,9,82,27
The Best of Enemies,1,5,7
The Blacklist: Season 8,139,117,70
The Blind Side,5,13,20
