video_title,tweetvol,country_name
Tall Girl 2,7,Brazil
Texas Chainsaw Massacre,21,Brazil
The 100: Season 7,162,Brazil
The Adam Project,17,Brazil
The Blacklist: Season 8,166,Brazil
The Chestnut Man: Season 1,4,Brazil
The Clovehitch Killer,1,Brazil
THE CRAZIES,1,Brazil
The Dead Don't Die,1,Brazil
The Equalizer 2,1,Brazil
The Father Who Moves Mountains,2,Brazil
The Flash: Season 7,245,Brazil
The Guilty,6,Brazil
The Harder They Fall,28,Brazil
The In Between,7,Brazil
The Intruder,1,Brazil
The King's Affection: Season 1,26,Brazil
The Kissing Booth 3,17,Brazil
The Last Kingdom: Season 5,62,Brazil
The Last Letter From Your Lover,6,Brazil
The Lincoln Lawyer: Season 1,3,Brazil
The Lost Daughter,22,Brazil
The Mask,4,Brazil
The Pirates: The Last Royal Treasure,1,Brazil
The Possession of Hannah Grace,1,Brazil
The Power of the Dog,79,Brazil
The Princess Switch 3: Romancing the Star,1,Brazil
The Royal Treatment,1,Brazil
The Salvation,1,Brazil
The Seven Deadly Sins: Dragon's Judgement,6,Brazil
The Silent Sea: Season 1,21,Brazil
The Sinner: Season 4: Percy,75,Brazil
The Starling,1,Brazil
The Swarm,4,Brazil
The Tinder Swindler,13,Brazil
The Trip,3,Brazil
The Umbrella Academy: Season 1,234,Brazil
The Umbrella Academy: Season 3,234,Brazil
The Unforgivable,19,Brazil
The Wasteland,1,Brazil
The Weekend Away,2,Brazil
The Whole Truth,1,Brazil
The Witcher: Nightmare of the Wolf,9,Brazil
The Witcher: Season 1,426,Brazil
The Witcher: Season 2,426,Brazil
There's Someone Inside Your House,5,Brazil
Titans: Season 3,130,Brazil
Tô Ryca,12,Brazil
Too Hot to Handle: Brazil: Season 1,7,Brazil
Too Hot to Handle: Season 2,7,Brazil
Toscana,20,Brazil
Toy Boy: Season 1,71,Brazil
Toy Boy: Season 2,71,Brazil
Trollhunters: Rise of the Titans,1,Brazil
Trolls,8,Brazil
Troy,8,Brazil
True Story: Limited Series,27,Brazil
Trust,27,Brazil
Two,8,Brazil
