video_title,tweetvol,country_name
True Story: Limited Series,76,France
Twilight,31,France
Undercover: Season 3,6,France
Upgrade,7,France
Us,225,France
Valeria: Season 2,4,France
Venom,62,France
Vikings: Valhalla: Season 1,11,France
Virgin River: Season 3,4,France
Vivo,12,France
Workin' Moms: Season 6,2,France
World Trade Center,68,France
World War Z,4,France
Worth,3,France
Yakamoz S-245: Season 1,3,France
Yara,12,France
You Don't Know Me: Season 1,1,France
You: Season 1,61,France
You: Season 3,61,France
